image,caption
./assets/half-red-dragon-veteran.jpg,"The Half-Red Dragon Veteran is a humanoid. It has an Armor Class of 18 and 65 Hit Points. Its speed is walk: 30 ft.. Its characteristics are STR 16, DEX 13, CON 14, INT 10, WIS 11, and CHA 10. It has saving throw proficiencies in none. Damage resistances include fire, and condition immunities include none. Its senses are blindsight: 10 ft., darkvision: 60 ft., passive perception: 12 and it speaks Common, Draconic. It has a Challenge Rating of 5. Special traits include: . Actions available: Multiattack, The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack., Longsword, Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands., Shortsword, Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage., Heavy Crossbow, Ranged Weapon Attack: +3 to hit, range 100/400 ft., one target. Hit: 6 (1d10 + 1) piercing damage., Fire Breath, The veteran exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 24 (7d6) fire damage on a failed save, or half as much damage on a successful one.."
./assets/zombie.jpg,"The Zombie is a undead. It has an Armor Class of 8 and 22 Hit Points. Its speed is walk: 20 ft.. Its characteristics are STR 13, DEX 6, CON 16, INT 3, WIS 6, and CHA 5. It has saving throw proficiencies in WIS. Damage resistances include none, and condition immunities include Poisoned. Its senses are darkvision: 60 ft., passive perception: 8 and it speaks understands all languages it spoke in life but can't speak. It has a Challenge Rating of 0.25. Special traits include: Undead Fortitude, If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.. Actions available: Slam, Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.."
./assets/oni.jpg,"The Oni is a giant. It has an Armor Class of 16 and 110 Hit Points. Its speed is walk: 30 ft., fly: 30 ft.. Its characteristics are STR 19, DEX 11, CON 16, INT 14, WIS 12, and CHA 15. It has saving throw proficiencies in DEX, CON, WIS, CHA. Damage resistances include none, and condition immunities include none. Its senses are darkvision: 60 ft., passive perception: 14 and it speaks Common, Giant. It has a Challenge Rating of 7. Special traits include: Innate Spellcasting, The oni's innate spellcasting ability is Charisma (spell save DC 13). The oni can innately cast the following spells, requiring no material components:

At will: darkness, invisibility
1/day each: charm person, cone of cold, gaseous form, sleep, Magic Weapons, The oni's weapon attacks are magical., Regeneration, The oni regains 10 hit points at the start of its turn if it has at least 1 hit point.. Actions available: Multiattack, The oni makes two attacks, either with its claws or its glaive., Claw (Oni Form Only), Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage., Glaive, Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) slashing damage, or 9 (1d10 + 4) slashing damage in Small or Medium form., Change Shape, The oni magically polymorphs into a Small or Medium humanoid, into a Large giant, or back into its true form. Other than its size, its statistics are the same in each form. The only equipment that is transformed is its glaive, which shrinks so that it can be wielded in humanoid form. If the oni dies, it reverts to its true form, and its glaive reverts to its normal size.."
./assets/adult-blue-dragon.jpg,"The Adult Blue Dragon is a dragon. It has an Armor Class of 19 and 225 Hit Points. Its speed is walk: 40 ft., burrow: 30 ft., fly: 80 ft.. Its characteristics are STR 25, DEX 10, CON 23, INT 16, WIS 15, and CHA 19. It has saving throw proficiencies in DEX, CON, WIS, CHA. Damage resistances include none, and condition immunities include none. Its senses are blindsight: 60 ft., darkvision: 120 ft., passive perception: 22 and it speaks Common, Draconic. It has a Challenge Rating of 16. Special traits include: Legendary Resistance, If the dragon fails a saving throw, it can choose to succeed instead.. Actions available: Multiattack, The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws., Bite, Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage., Claw, Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage., Tail, Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage., Frightful Presence, Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours., Lightning Breath, The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.."
./assets/kobold.jpg,"The Kobold is a humanoid. It has an Armor Class of 12 and 5 Hit Points. Its speed is walk: 30 ft.. Its characteristics are STR 7, DEX 15, CON 9, INT 8, WIS 7, and CHA 8. It has saving throw proficiencies in none. Damage resistances include none, and condition immunities include none. Its senses are darkvision: 60 ft., passive perception: 8 and it speaks Common, Draconic. It has a Challenge Rating of 0.125. Special traits include: Sunlight Sensitivity, While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight., Pack Tactics, The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 ft. of the creature and the ally isn't incapacitated.. Actions available: Dagger, Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage., Sling, Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.."
./assets/flying-sword.jpg,"The Flying Sword is a construct. It has an Armor Class of 17 and 17 Hit Points. Its speed is walk: 0 ft., fly: 50 ft., hover: True. Its characteristics are STR 12, DEX 15, CON 11, INT 1, WIS 5, and CHA 1. It has saving throw proficiencies in DEX. Damage resistances include none, and condition immunities include Blinded, Charmed, Blinded, Frightened, Paralyzed, Petrified, Poisoned. Its senses are blindsight: 60 ft. (blind beyond this radius), passive perception: 7 and it speaks none. It has a Challenge Rating of 0.25. Special traits include: Antimagic Susceptibility, The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute., False Appearance, While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.. Actions available: Longsword, Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.."
./assets/night-hag.jpg,"The Night Hag is a fiend. It has an Armor Class of 17 and 112 Hit Points. Its speed is walk: 30 ft.. Its characteristics are STR 18, DEX 15, CON 16, INT 16, WIS 14, and CHA 16. It has saving throw proficiencies in none. Damage resistances include cold, fire, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered, and condition immunities include Charmed. Its senses are darkvision: 120 ft., passive perception: 16 and it speaks Abyssal, Common, Infernal, Primordial. It has a Challenge Rating of 5. Special traits include: Innate Spellcasting, The hag's innate spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). She can innately cast the following spells, requiring no material components:

At will: detect magic, magic missile
2/day each: plane shift (self only), ray of enfeeblement, sleep, Magic Resistance, The hag has advantage on saving throws against spells and other magical effects., Night Hag Items, A night hag carries two very rare magic items that she must craft for herself If either object is lost, the night hag will go to great lengths to retrieve it, as creating a new tool takes time and effort.
Heartstone: This lustrous black gem allows a night hag to become ethereal while it is in her possession. The touch of a heartstone also cures any disease. Crafting a heartstone takes 30 days.
Soul Bag: When an evil humanoid dies as a result of a night hag's Nightmare Haunting, the hag catches the soul in this black sack made of stitched flesh. A soul bag can hold only one evil soul at a time, and only the night hag who crafted the bag can catch a soul with it. Crafting a soul bag takes 7 days and a humanoid sacrifice (whose flesh is used to make the bag).. Actions available: Claws (Hag Form Only), Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage., Change Shape, The hag magically polymorphs into a Small or Medium female humanoid, or back into her true form. Her statistics are the same in each form. Any equipment she is wearing or carrying isn't transformed. She reverts to her true form if she dies., Etherealness, The hag magically enters the Ethereal Plane from the Material Plane, or vice versa. To do so, the hag must have a heartstone in her possession., Nightmare Haunting, While on the Ethereal Plane, the hag magically touches a sleeping humanoid on the Material Plane. A protection from evil and good spell cast on the target prevents this contact, as does a magic circle. As long as the contact persists, the target has dreadful visions. If these visions last for at least 1 hour, the target gains no benefit from its rest, and its hit point maximum is reduced by 5 (1d10). If this effect reduces the target's hit point maximum to 0, the target dies, and if the target was evil, its soul is trapped in the hag's soul bag. The reduction to the target's hit point maximum lasts until removed by the greater restoration spell or similar magic.."
./assets/raven.jpg,"The Raven is a beast. It has an Armor Class of 12 and 1 Hit Points. Its speed is walk: 10 ft., fly: 50 ft.. Its characteristics are STR 2, DEX 14, CON 8, INT 2, WIS 12, and CHA 6. It has saving throw proficiencies in none. Damage resistances include none, and condition immunities include none. Its senses are passive perception: 13 and it speaks none. It has a Challenge Rating of 0. Special traits include: Mimicry, The raven can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check.. Actions available: Beak, Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.."
./assets/axe-beak.jpg,"The Axe Beak is a beast. It has an Armor Class of 11 and 19 Hit Points. Its speed is walk: 50 ft.. Its characteristics are STR 14, DEX 12, CON 12, INT 2, WIS 10, and CHA 5. It has saving throw proficiencies in none. Damage resistances include none, and condition immunities include none. Its senses are passive perception: 10 and it speaks none. It has a Challenge Rating of 0.25. Special traits include: . Actions available: Beak, Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.."
./assets/grick.jpg,"The Grick is a monstrosity. It has an Armor Class of 14 and 27 Hit Points. Its speed is walk: 30 ft., climb: 30 ft.. Its characteristics are STR 14, DEX 14, CON 11, INT 3, WIS 14, and CHA 5. It has saving throw proficiencies in none. Damage resistances include bludgeoning, piercing, and slashing from nonmagical weapons, and condition immunities include none. Its senses are darkvision: 60 ft., passive perception: 12 and it speaks none. It has a Challenge Rating of 2. Special traits include: Stone Camouflage, The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.. Actions available: Multiattack, The grick makes one attack with its tentacles. If that attack hits, the grick can make one beak attack against the same target., Tentacles, Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage., Beak, Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.."
